ID,Condition,SuccessRate,ElbAng_Ext,MoveTime,BB_SLR,BB_LLR,TLong_SLR,TLong_LLR
7,C_2x,97.5,1.19158888783468,249.25,4.90273080778574,11.353130804562,-0.980326492867384,0.382782678568976
8,C_2x,100,1.83274458070272,200.35,2.41378280813495,3.93289158732591,0.00691841065686808,-0.66442704940445
9,C_2x,65,0.536039851565503,415.35,0.657442423370565,4.20823976602945,0.0771302100406512,-0.2808169571878
10,C_2x,95,1.34955375064374,301.05,5.85169529358437,27.1991174611855,-0.173422471054461,0.0761275610152586
11,C_2x,97.5,1.6285742526462,213.175,7.75240858439745,8.35891047426947,-1.4187828492594,1.01299026531576
12,C_2x,82.5,0.646870682519319,342.2,2.53667475291772,8.18012843382855,-0.124725508699159,0.0704536629250793
1,D_4x,95,1.52550374079674,291.075,7.66632509272336,23.6983521535012,-0.4100425904257,-0.36087493867572
2,D_4x,85,3.55926425066602,357.525,3.94452639024919,23.4779189763438,-0.0976639472407475,-0.114236353829056
3,D_4x,97.5,2.95449260541395,256.275,11.4164958457818,14.4452604302045,-0.440655847231051,-1.11652082189625
4,D_4x,85,2.58965869348358,301.725,6.25638627856924,10.4739680076672,-0.503904323158159,0.217058264118783
5,D_4x,90,1.55696484926451,300.475,2.71947525219307,8.56566770563571,-0.347648921198255,-2.19589343030009
6,D_4x,45,1.77849511255694,481.1,0.843186429233313,6.9014054020714,-1.50622228684827,-2.56597991667814
7,D_4x,92.5,1.14320930928293,258.825,10.1197545992285,12.6089842140127,-1.48790119505506,1.58904925654212
8,D_4x,95,1.99171736798009,246.25,3.07778732862975,3.37389625929776,-0.154560410378667,-0.390554758612097
9,D_4x,100,0.847218174427397,260.2,1.40244798271674,3.58945340607895,-0.583479252999625,-0.69449390640035
10,D_4x,90,1.86693391014829,328.05,7.28673631942716,29.3201296587858,-0.0352245703146567,0.192535621333682
11,D_4x,92.3076923076923,2.2131080794517,258.923076923077,6.20951988226868,9.40582682145097,-0.0719212573587573,1.91972723479939
12,D_4x,87.5,0.771095420832867,312.85,2.53274499839031,6.04969340633131,-0.309786586190752,-0.539518468129374
1,E_8x,100,1.33285033869298,245.725,14.8252079471034,20.2768151750017,-0.141292555568609,-0.620469783447002
2,E_8x,95,2.38722644021894,228.3,5.87081738348372,20.8962503943904,-2.20432077715732,-2.24384719023066
3,E_8x,78.5714285714286,2.57833459229277,345.5,4.42050023858835,11.8777694607858,-1.47063990537429,-1.69481295540742
4,E_8x,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,E_8x,90,2.68181478960734,312.35,1.69592426491886,6.97967472775799,-0.191543484362047,0.331807624972492
6,E_8x,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,E_8x,92.5,0.954513026164089,264.65,10.0815110498424,12.6361335634504,-1.46771867510979,2.99388181332605
8,E_8x,100,1.94438576056093,213.5,3.84877195131086,2.36104198945044,-0.187904339031101,-1.35364126576896
9,E_8x,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,E_8x,90,1.27521111258892,286.775,13.8032028394188,37.8503916653396,-0.0229031756331116,-0.0305378383223494
11,E_8x,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,E_8x,60,1.3497602850206,330.8,3.22302263602171,7.88537825435291,1.44433620068834,0.839470510098171
1,F_16x,100,1.35658044355268,204.375,11.7121514287259,21.8139121906218,-0.72247857393412,-1.23349043207063
2,F_16x,100,1.91062531359768,193.175,8.42432051824827,26.1738326326308,-6.27723106578477,-0.649715348517492
3,F_16x,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,F_16x,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,F_16x,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,F_16x,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,F_16x,100,0.439715564504667,161,50.2739462741103,29.1165395220233,-1.96329886164483,-0.892654942013793
8,F_16x,100,1.18198682955565,128.4,8.39666139454463,2.87966160010279,-0.906120913564504,-1.37848959835862
9,F_16x,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,F_16x,92.5,0.989241945615176,261.05,28.3350754452205,40.8539547856172,-0.0960036743411606,-0.208607540979039
11,F_16x,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,F_16x,NaN,NaN,NaN,NaN,NaN,NaN,NaN
